 # Energia   DOS_Total   Transmitancia
   -4.5000000000E+00    4.2245168212E-04    0.0000000000E+00
   -4.4977500000E+00    4.2337868873E-04    0.0000000000E+00
   -4.4955000000E+00    4.2430899228E-04    0.0000000000E+00
   -4.4932500000E+00    4.2524260904E-04    0.0000000000E+00
   -4.4910000000E+00    4.2617955534E-04    0.0000000000E+00
   -4.4887500000E+00    4.2711984766E-04    0.0000000000E+00
   -4.4865000000E+00    4.2806350254E-04    0.0000000000E+00
   -4.4842500000E+00    4.2901053666E-04    0.0000000000E+00
   -4.4820000000E+00    4.2996096679E-04    0.0000000000E+00
   -4.4797500000E+00    4.3091480979E-04    0.0000000000E+00
   -4.4775000000E+00    4.3187208266E-04    0.0000000000E+00
   -4.4752500000E+00    4.3283280250E-04    0.0000000000E+00
   -4.4730000000E+00    4.3379698649E-04    0.0000000000E+00
   -4.4707500000E+00    4.3476465194E-04    0.0000000000E+00
   -4.4685000000E+00    4.3573581629E-04    0.0000000000E+00
   -4.4662500000E+00    4.3671049706E-04    0.0000000000E+00
   -4.4640000000E+00    4.3768871189E-04    0.0000000000E+00
   -4.4617500000E+00    4.3867047854E-04    0.0000000000E+00
   -4.4595000000E+00    4.3965581489E-04    0.0000000000E+00
   -4.4572500000E+00    4.4064473892E-04    0.0000000000E+00
   -4.4550000000E+00    4.4163726872E-04    0.0000000000E+00
   -4.4527500000E+00    4.4263342252E-04    0.0000000000E+00
   -4.4505000000E+00    4.4363321865E-04    0.0000000000E+00
   -4.4482500000E+00    4.4463667556E-04    0.0000000000E+00
   -4.4460000000E+00    4.4564381184E-04    0.0000000000E+00
   -4.4437500000E+00    4.4665464616E-04    0.0000000000E+00
   -4.4415000000E+00    4.4766919735E-04    0.0000000000E+00
   -4.4392500000E+00    4.4868748435E-04    0.0000000000E+00
   -4.4370000000E+00    4.4970952620E-04    0.0000000000E+00
   -4.4347500000E+00    4.5073534210E-04    0.0000000000E+00
   -4.4325000000E+00    4.5176495135E-04    0.0000000000E+00
   -4.4302500000E+00    4.5279837339E-04    0.0000000000E+00
   -4.4280000000E+00    4.5383562778E-04    0.0000000000E+00
   -4.4257500000E+00    4.5487673422E-04    0.0000000000E+00
   -4.4235000000E+00    4.5592171251E-04    0.0000000000E+00
   -4.4212500000E+00    4.5697058261E-04    0.0000000000E+00
   -4.4190000000E+00    4.5802336460E-04    0.0000000000E+00
   -4.4167500000E+00    4.5908007869E-04    0.0000000000E+00
