 # Energia   DOS_Total   Transmitancia
   -4.3065000000E+00    2.5408836449E-04    0.0000000000E+00
   -4.3042500000E+00    2.5447045636E-04    0.0000000000E+00
   -4.3020000000E+00    2.5485347961E-04    0.0000000000E+00
   -4.2997500000E+00    2.5523743743E-04    0.0000000000E+00
   -4.2975000000E+00    2.5562233301E-04    0.0000000000E+00
   -4.2952500000E+00    2.5600816959E-04    0.0000000000E+00
   -4.2930000000E+00    2.5639495038E-04    0.0000000000E+00
   -4.2907500000E+00    2.5678267864E-04    0.0000000000E+00
   -4.2885000000E+00    2.5717135762E-04    0.0000000000E+00
   -4.2862500000E+00    2.5756099061E-04    0.0000000000E+00
   -4.2840000000E+00    2.5795158088E-04    0.0000000000E+00
   -4.2817500000E+00    2.5834313174E-04    0.0000000000E+00
   -4.2795000000E+00    2.5873564652E-04    0.0000000000E+00
   -4.2772500000E+00    2.5912912854E-04    0.0000000000E+00
   -4.2750000000E+00    2.5952358116E-04    0.0000000000E+00
   -4.2727500000E+00    2.5991900774E-04    0.0000000000E+00
   -4.2705000000E+00    2.6031541165E-04    0.0000000000E+00
   -4.2682500000E+00    2.6071279629E-04    0.0000000000E+00
   -4.2660000000E+00    2.6111116506E-04    0.0000000000E+00
   -4.2637500000E+00    2.6151052141E-04    0.0000000000E+00
   -4.2615000000E+00    2.6191086875E-04    0.0000000000E+00
   -4.2592500000E+00    2.6231221055E-04    0.0000000000E+00
   -4.2570000000E+00    2.6271455028E-04    0.0000000000E+00
   -4.2547500000E+00    2.6311789143E-04    0.0000000000E+00
   -4.2525000000E+00    2.6352223749E-04    0.0000000000E+00
   -4.2502500000E+00    2.6392759198E-04    0.0000000000E+00
   -4.2480000000E+00    2.6433395845E-04    0.0000000000E+00
   -4.2457500000E+00    2.6474134043E-04    0.0000000000E+00
   -4.2435000000E+00    2.6514974150E-04    0.0000000000E+00
   -4.2412500000E+00    2.6555916524E-04    0.0000000000E+00
   -4.2390000000E+00    2.6596961524E-04    0.0000000000E+00
   -4.2367500000E+00    2.6638109513E-04    0.0000000000E+00
   -4.2345000000E+00    2.6679360853E-04    0.0000000000E+00
   -4.2322500000E+00    2.6720715908E-04    0.0000000000E+00
   -4.2300000000E+00    2.6762175046E-04    0.0000000000E+00
   -4.2277500000E+00    2.6803738635E-04    0.0000000000E+00
   -4.2255000000E+00    2.6845407044E-04    0.0000000000E+00
   -4.2232500000E+00    2.6887180646E-04    0.0000000000E+00
   -4.2210000000E+00    2.6929059812E-04    0.0000000000E+00
   -4.2187500000E+00    2.6971044919E-04    0.0000000000E+00
   -4.2165000000E+00    2.7013136342E-04    0.0000000000E+00
   -4.2142500000E+00    2.7055334461E-04    0.0000000000E+00
   -4.2120000000E+00    2.7097639655E-04    0.0000000000E+00
   -4.2097500000E+00    2.7140052306E-04    0.0000000000E+00
   -4.2075000000E+00    2.7182572797E-04    0.0000000000E+00
   -4.2052500000E+00    2.7225201516E-04    0.0000000000E+00
   -4.2030000000E+00    2.7267938847E-04    0.0000000000E+00
   -4.2007500000E+00    2.7310785181E-04    0.0000000000E+00
   -4.1985000000E+00    2.7353740909E-04    0.0000000000E+00
   -4.1962500000E+00    2.7396806422E-04    0.0000000000E+00
   -4.1940000000E+00    2.7439982115E-04    0.0000000000E+00
   -4.1917500000E+00    2.7483268385E-04    0.0000000000E+00
   -4.1895000000E+00    2.7526665630E-04    0.0000000000E+00
   -4.1872500000E+00    2.7570174249E-04    0.0000000000E+00
   -4.1850000000E+00    2.7613794644E-04    0.0000000000E+00
