 # Energia   DOS_Total   Transmitancia
   -4.3065000000E+00    3.4774020704E-04    0.0000000000E+00
   -4.3042500000E+00    3.4840244673E-04    0.0000000000E+00
   -4.3020000000E+00    3.4906674001E-04    0.0000000000E+00
   -4.2997500000E+00    3.4973309576E-04    0.0000000000E+00
   -4.2975000000E+00    3.5040152291E-04    0.0000000000E+00
   -4.2952500000E+00    3.5107203045E-04    0.0000000000E+00
   -4.2930000000E+00    3.5174462739E-04    0.0000000000E+00
   -4.2907500000E+00    3.5241932283E-04    0.0000000000E+00
   -4.2885000000E+00    3.5309612588E-04    0.0000000000E+00
   -4.2862500000E+00    3.5377504574E-04    0.0000000000E+00
   -4.2840000000E+00    3.5445609163E-04    0.0000000000E+00
   -4.2817500000E+00    3.5513927284E-04    0.0000000000E+00
   -4.2795000000E+00    3.5582459871E-04    0.0000000000E+00
   -4.2772500000E+00    3.5651207862E-04    0.0000000000E+00
   -4.2750000000E+00    3.5720172201E-04    0.0000000000E+00
   -4.2727500000E+00    3.5789353839E-04    0.0000000000E+00
   -4.2705000000E+00    3.5858753729E-04    0.0000000000E+00
   -4.2682500000E+00    3.5928372832E-04    0.0000000000E+00
   -4.2660000000E+00    3.5998212114E-04    0.0000000000E+00
   -4.2637500000E+00    3.6068272545E-04    0.0000000000E+00
   -4.2615000000E+00    3.6138555103E-04    0.0000000000E+00
   -4.2592500000E+00    3.6209060768E-04    0.0000000000E+00
   -4.2570000000E+00    3.6279790529E-04    0.0000000000E+00
   -4.2547500000E+00    3.6350745379E-04    0.0000000000E+00
   -4.2525000000E+00    3.6421926317E-04    0.0000000000E+00
   -4.2502500000E+00    3.6493334347E-04    0.0000000000E+00
   -4.2480000000E+00    3.6564970480E-04    0.0000000000E+00
   -4.2457500000E+00    3.6636835731E-04    0.0000000000E+00
   -4.2435000000E+00    3.6708931123E-04    0.0000000000E+00
   -4.2412500000E+00    3.6781257683E-04    0.0000000000E+00
   -4.2390000000E+00    3.6853816445E-04    0.0000000000E+00
   -4.2367500000E+00    3.6926608448E-04    0.0000000000E+00
   -4.2345000000E+00    3.6999634738E-04    0.0000000000E+00
   -4.2322500000E+00    3.7072896366E-04    0.0000000000E+00
   -4.2300000000E+00    3.7146394389E-04    0.0000000000E+00
   -4.2277500000E+00    3.7220129872E-04    0.0000000000E+00
   -4.2255000000E+00    3.7294103883E-04    0.0000000000E+00
   -4.2232500000E+00    3.7368317500E-04    0.0000000000E+00
   -4.2210000000E+00    3.7442771803E-04    0.0000000000E+00
   -4.2187500000E+00    3.7517467882E-04    0.0000000000E+00
   -4.2165000000E+00    3.7592406831E-04    0.0000000000E+00
   -4.2142500000E+00    3.7667589751E-04    0.0000000000E+00
   -4.2120000000E+00    3.7743017749E-04    0.0000000000E+00
   -4.2097500000E+00    3.7818691940E-04    0.0000000000E+00
   -4.2075000000E+00    3.7894613445E-04    0.0000000000E+00
   -4.2052500000E+00    3.7970783388E-04    0.0000000000E+00
   -4.2030000000E+00    3.8047202906E-04    0.0000000000E+00
   -4.2007500000E+00    3.8123873136E-04    0.0000000000E+00
   -4.1985000000E+00    3.8200795227E-04    0.0000000000E+00
   -4.1962500000E+00    3.8277970332E-04    0.0000000000E+00
   -4.1940000000E+00    3.8355399611E-04    0.0000000000E+00
   -4.1917500000E+00    3.8433084232E-04    0.0000000000E+00
   -4.1895000000E+00    3.8511025367E-04    0.0000000000E+00
   -4.1872500000E+00    3.8589224199E-04    0.0000000000E+00
   -4.1850000000E+00    3.8667681915E-04    0.0000000000E+00
   -4.1827500000E+00    3.8746399710E-04    0.0000000000E+00
   -4.1805000000E+00    3.8825378786E-04    0.0000000000E+00
