 # Energia   DOS_Total   Transmitancia
   -4.5000000000E+00    6.9494645455E-04    0.0000000000E+00
   -4.4977500000E+00    6.9727296178E-04    0.0000000000E+00
   -4.4955000000E+00    6.9961224949E-04    0.0000000000E+00
   -4.4932500000E+00    7.0196441523E-04    0.0000000000E+00
   -4.4910000000E+00    7.0432955749E-04    0.0000000000E+00
   -4.4887500000E+00    7.0670777574E-04    0.0000000000E+00
   -4.4865000000E+00    7.0909917041E-04    0.0000000000E+00
   -4.4842500000E+00    7.1150384294E-04    0.0000000000E+00
   -4.4820000000E+00    7.1392189575E-04    0.0000000000E+00
   -4.4797500000E+00    7.1635343229E-04    0.0000000000E+00
   -4.4775000000E+00    7.1879855702E-04    0.0000000000E+00
   -4.4752500000E+00    7.2125737546E-04    0.0000000000E+00
   -4.4730000000E+00    7.2372999416E-04    0.0000000000E+00
   -4.4707500000E+00    7.2621652074E-04    0.0000000000E+00
   -4.4685000000E+00    7.2871706391E-04    0.0000000000E+00
   -4.4662500000E+00    7.3123173345E-04    0.0000000000E+00
   -4.4640000000E+00    7.3376064025E-04    0.0000000000E+00
   -4.4617500000E+00    7.3630389632E-04    0.0000000000E+00
   -4.4595000000E+00    7.3886161480E-04    0.0000000000E+00
   -4.4572500000E+00    7.4143390997E-04    0.0000000000E+00
   -4.4550000000E+00    7.4402089727E-04    0.0000000000E+00
   -4.4527500000E+00    7.4662269332E-04    0.0000000000E+00
   -4.4505000000E+00    7.4923941593E-04    0.0000000000E+00
   -4.4482500000E+00    7.5187118409E-04    0.0000000000E+00
   -4.4460000000E+00    7.5451811802E-04    0.0000000000E+00
   -4.4437500000E+00    7.5718033919E-04    0.0000000000E+00
   -4.4415000000E+00    7.5985797029E-04    0.0000000000E+00
   -4.4392500000E+00    7.6255113529E-04    0.0000000000E+00
   -4.4370000000E+00    7.6525995944E-04    0.0000000000E+00
   -4.4347500000E+00    7.6798456928E-04    0.0000000000E+00
   -4.4325000000E+00    7.7072509266E-04    0.0000000000E+00
   -4.4302500000E+00    7.7348165877E-04    0.0000000000E+00
   -4.4280000000E+00    7.7625439814E-04    0.0000000000E+00
   -4.4257500000E+00    7.7904344266E-04    0.0000000000E+00
   -4.4235000000E+00    7.8184892560E-04    0.0000000000E+00
   -4.4212500000E+00    7.8467098164E-04    0.0000000000E+00
   -4.4190000000E+00    7.8750974685E-04    0.0000000000E+00
   -4.4167500000E+00    7.9036535878E-04    0.0000000000E+00
   -4.4145000000E+00    7.9323795638E-04    0.0000000000E+00
   -4.4122500000E+00    7.9612768011E-04    0.0000000000E+00
   -4.4100000000E+00    7.9903467190E-04    0.0000000000E+00
   -4.4077500000E+00    8.0195907520E-04    0.0000000000E+00
   -4.4055000000E+00    8.0490103500E-04    0.0000000000E+00
   -4.4032500000E+00    8.0786069781E-04    0.0000000000E+00
   -4.4010000000E+00    8.1083821173E-04    0.0000000000E+00
   -4.3987500000E+00    8.1383372646E-04    0.0000000000E+00
   -4.3965000000E+00    8.1684739329E-04    0.0000000000E+00
   -4.3942500000E+00    8.1987936516E-04    0.0000000000E+00
   -4.3920000000E+00    8.2292979666E-04    0.0000000000E+00
   -4.3897500000E+00    8.2599884404E-04    0.0000000000E+00
   -4.3875000000E+00    8.2908666528E-04    0.0000000000E+00
   -4.3852500000E+00    8.3219342005E-04    0.0000000000E+00
   -4.3830000000E+00    8.3531926979E-04    0.0000000000E+00
   -4.3807500000E+00    8.3846437769E-04    0.0000000000E+00
   -4.3785000000E+00    8.4162890875E-04    0.0000000000E+00
   -4.3762500000E+00    8.4481302976E-04    0.0000000000E+00
   -4.3740000000E+00    8.4801690936E-04    0.0000000000E+00
   -4.3717500000E+00    8.5124071808E-04    0.0000000000E+00
   -4.3695000000E+00    8.5448462830E-04    0.0000000000E+00
   -4.3672500000E+00    8.5774881434E-04    0.0000000000E+00
   -4.3650000000E+00    8.6103345246E-04    0.0000000000E+00
   -4.3627500000E+00    8.6433872088E-04    0.0000000000E+00
   -4.3605000000E+00    8.6766479983E-04    0.0000000000E+00
   -4.3582500000E+00    8.7101187155E-04    0.0000000000E+00
   -4.3560000000E+00    8.7438012032E-04    0.0000000000E+00
   -4.3537500000E+00    8.7776973253E-04    0.0000000000E+00
   -4.3515000000E+00    8.8118089665E-04    0.0000000000E+00
   -4.3492500000E+00    8.8461380331E-04    0.0000000000E+00
   -4.3470000000E+00    8.8806864528E-04    0.0000000000E+00
   -4.3447500000E+00    8.9154561755E-04    0.0000000000E+00
   -4.3425000000E+00    8.9504491732E-04    0.0000000000E+00
   -4.3402500000E+00    8.9856674407E-04    0.0000000000E+00
   -4.3380000000E+00    9.0211129955E-04    0.0000000000E+00
   -4.3357500000E+00    9.0567878783E-04    0.0000000000E+00
   -4.3335000000E+00    9.0926941536E-04    0.0000000000E+00
   -4.3312500000E+00    9.1288339096E-04    0.0000000000E+00
   -4.3290000000E+00    9.1652092588E-04    0.0000000000E+00
   -4.3267500000E+00    9.2018223381E-04    0.0000000000E+00
   -4.3245000000E+00    9.2386753096E-04    0.0000000000E+00
   -4.3222500000E+00    9.2757703605E-04    0.0000000000E+00
   -4.3200000000E+00    9.3131097037E-04    0.0000000000E+00
   -4.3177500000E+00    9.3506955780E-04    0.0000000000E+00
   -4.3155000000E+00    9.3885302487E-04    0.0000000000E+00
   -4.3132500000E+00    9.4266160079E-04    0.0000000000E+00
   -4.3110000000E+00    9.4649551748E-04    0.0000000000E+00
   -4.3087500000E+00    9.5035500960E-04    0.0000000000E+00
   -4.3065000000E+00    9.5424031463E-04    0.0000000000E+00
   -4.3042500000E+00    9.5815167286E-04    0.0000000000E+00
   -4.3020000000E+00    9.6208932750E-04    0.0000000000E+00
   -4.2997500000E+00    9.6605352462E-04    0.0000000000E+00
   -4.2975000000E+00    9.7004451330E-04    0.0000000000E+00
   -4.2952500000E+00    9.7406254561E-04    0.0000000000E+00
   -4.2930000000E+00    9.7810787666E-04    0.0000000000E+00
   -4.2907500000E+00    9.8218076468E-04    0.0000000000E+00
   -4.2885000000E+00    9.8628147103E-04    0.0000000000E+00
   -4.2862500000E+00    9.9041026024E-04    0.0000000000E+00
   -4.2840000000E+00    9.9456740011E-04    0.0000000000E+00
   -4.2817500000E+00    9.9875316171E-04    0.0000000000E+00
   -4.2795000000E+00    1.0029678194E-03    0.0000000000E+00
   -4.2772500000E+00    1.0072116511E-03    0.0000000000E+00
   -4.2750000000E+00    1.0114849379E-03    0.0000000000E+00
   -4.2727500000E+00    1.0157879646E-03    0.0000000000E+00
   -4.2705000000E+00    1.0201210194E-03    0.0000000000E+00
   -4.2682500000E+00    1.0244843941E-03    0.0000000000E+00
   -4.2660000000E+00    1.0288783844E-03    0.0000000000E+00
   -4.2637500000E+00    1.0333032894E-03    0.0000000000E+00
   -4.2615000000E+00    1.0377594120E-03    0.0000000000E+00
   -4.2592500000E+00    1.0422470591E-03    0.0000000000E+00
   -4.2570000000E+00    1.0467665414E-03    0.0000000000E+00
   -4.2547500000E+00    1.0513181734E-03    0.0000000000E+00
   -4.2525000000E+00    1.0559022738E-03    0.0000000000E+00
   -4.2502500000E+00    1.0605191654E-03    0.0000000000E+00
   -4.2480000000E+00    1.0651691748E-03    0.0000000000E+00
   -4.2457500000E+00    1.0698526332E-03    0.0000000000E+00
   -4.2435000000E+00    1.0745698758E-03    0.0000000000E+00
   -4.2412500000E+00    1.0793212421E-03    0.0000000000E+00
   -4.2390000000E+00    1.0841070763E-03    0.0000000000E+00
   -4.2367500000E+00    1.0889277268E-03    0.0000000000E+00
   -4.2345000000E+00    1.0937835465E-03    0.0000000000E+00
   -4.2322500000E+00    1.0986748932E-03    0.0000000000E+00
   -4.2300000000E+00    1.1036021290E-03    0.0000000000E+00
   -4.2277500000E+00    1.1085656210E-03    0.0000000000E+00
   -4.2255000000E+00    1.1135657412E-03    0.0000000000E+00
   -4.2232500000E+00    1.1186028664E-03    0.0000000000E+00
   -4.2210000000E+00    1.1236773783E-03    0.0000000000E+00
   -4.2187500000E+00    1.1287896638E-03    0.0000000000E+00
   -4.2165000000E+00    1.1339401150E-03    0.0000000000E+00
   -4.2142500000E+00    1.1391291291E-03    0.0000000000E+00
